Serial_Number,target,feature,feature_label,feature_value,shap_value,unit
2,FWHM,Molar Ratio,Molar ratio,400.0,-0.403046,nm
2,FWHM,H2SO4 Volume,H2SO4 amount,4.0,4.215944,nm
3,FWHM,Time,Time,10.0,-1.211625,nm
3,FWHM,Temperature,Temperature,150.0,2.425995,nm
3,FWHM,Molar Ratio,Molar ratio,600.0,9.736032,nm
3,FWHM,H2SO4 Volume,H2SO4 amount,3.0,1.578653,nm
4,FWHM,Time,Time,10.0,-1.081602,nm
4,FWHM,Temperature,Temperature,150.0,2.249889,nm
4,FWHM,Molar Ratio,Molar ratio,600.0,11.061065,nm
4,FWHM,H2SO4 Volume,H2SO4 amount,4.0,5.449704,nm
5,FWHM,Time,Time,10.0,-0.265352,nm
5,FWHM,Temperature,Temperature,170.0,3.371583,nm
5,FWHM,Molar Ratio,Molar ratio,400.0,0.128787,nm
5,FWHM,H2SO4 Volume,H2SO4 amount,3.0,3.222037,nm
6,FWHM,Time,Time,10.0,-0.648588,nm
6,FWHM,Temperature,Temperature,170.0,1.721644,nm
6,FWHM,Molar Ratio,Molar ratio,400.0,-1.255301,nm
6,FWHM,H2SO4 Volume,H2SO4 amount,4.0,2.999301,nm
7,FWHM,Time,Time,10.0,-0.33263,nm
7,FWHM,Temperature,Temperature,170.0,2.936111,nm
7,FWHM,Molar Ratio,Molar ratio,600.0,10.057009,nm
7,FWHM,H2SO4 Volume,H2SO4 amount,3.0,1.616565,nm
8,FWHM,Time,Time,10.0,0.337616,nm
8,FWHM,Temperature,Temperature,170.0,3.017042,nm
8,FWHM,Molar Ratio,Molar ratio,600.0,13.023745,nm
8,FWHM,H2SO4 Volume,H2SO4 amount,4.0,5.744653,nm
9,FWHM,Time,Time,12.0,4.420125,nm
9,FWHM,Temperature,Temperature,150.0,3.208171,nm
9,FWHM,Molar Ratio,Molar ratio,400.0,-0.173171,nm
9,FWHM,H2SO4 Volume,H2SO4 amount,3.0,1.329931,nm
10,FWHM,Time,Time,12.0,5.383898,nm
10,FWHM,Temperature,Temperature,150.0,4.035944,nm
10,FWHM,Molar Ratio,Molar ratio,400.0,-0.100361,nm
10,FWHM,H2SO4 Volume,H2SO4 amount,4.0,4.751574,nm
11,FWHM,Time,Time,12.0,5.504903,nm
11,FWHM,Temperature,Temperature,150.0,3.061819,nm
11,FWHM,Molar Ratio,Molar ratio,600.0,11.046894,nm
11,FWHM,H2SO4 Volume,H2SO4 amount,3.0,1.61144,nm
12,FWHM,Time,Time,12.0,5.391718,nm
12,FWHM,Temperature,Temperature,150.0,3.486153,nm
12,FWHM,Molar Ratio,Molar ratio,600.0,11.325903,nm
12,FWHM,H2SO4 Volume,H2SO4 amount,4.0,5.239282,nm
13,FWHM,Time,Time,12.0,3.675676,nm
13,FWHM,Temperature,Temperature,170.0,2.23463,nm
13,FWHM,Molar Ratio,Molar ratio,400.0,0.105556,nm
13,FWHM,H2SO4 Volume,H2SO4 amount,3.0,2.417194,nm
14,FWHM,Time,Time,12.0,4.304968,nm
14,FWHM,Temperature,Temperature,170.0,0.430551,nm
14,FWHM,Molar Ratio,Molar ratio,400.0,-0.303449,nm
14,FWHM,H2SO4 Volume,H2SO4 amount,4.0,3.206986,nm
15,FWHM,Time,Time,12.0,3.824403,nm
15,FWHM,Temperature,Temperature,170.0,1.01244,nm
15,FWHM,Molar Ratio,Molar ratio,600.0,10.249782,nm
15,FWHM,H2SO4 Volume,H2SO4 amount,3.0,2.204431,nm
16,FWHM,Time,Time,12.0,2.417097,nm
16,FWHM,Temperature,Temperature,170.0,-0.140532,nm
16,FWHM,Molar Ratio,Molar ratio,600.0,11.101523,nm
16,FWHM,H2SO4 Volume,H2SO4 amount,4.0,4.254968,nm
17,FWHM,Time,Time,10.91,-2.452699,nm
17,FWHM,Temperature,Temperature,152.3,-0.180903,nm
17,FWHM,Molar Ratio,Molar ratio,396.1,-1.781838,nm
17,FWHM,H2SO4 Volume,H2SO4 amount,3.75,2.056495,nm
