state,training_n,pool_size,seed,runtime_seconds,mean_poolwise_acquisition,mean_fixed_reference_score,relative_to_20000_reference_percent,nearest_distance_to_reference_top4_scaled,mean_pred_FWHM,mean_pred_PLQY_percent
cycle_4_start_n28,28,2000,11,1.0129300999979023,0.8568254345587614,0.3157940173561527,56.29954277211004,0.2681219127999499,43.48396026971035,18.48856772143024
cycle_4_start_n28,28,2000,22,1.0053129000007175,0.8539602815928877,0.3069777897791992,54.727791711995536,0.33170838645575096,42.524316271809084,18.571340913754344
cycle_4_start_n28,28,2000,33,1.0297852999938186,0.8515935609729097,0.3114143223931681,55.51873373094551,0.2792760313435964,41.420820710356594,18.942591978167194
cycle_4_start_n28,28,5000,11,2.6405417999922065,0.8303946098069237,0.4619147901216435,82.34985482386315,0.16003989444378505,41.341084494684964,23.015856751839422
cycle_4_start_n28,28,5000,22,2.57125609999639,0.8400518223290115,0.4250140788389851,75.77122109744803,0.1596993907374589,41.026480792054095,20.857068268587227
cycle_4_start_n28,28,5000,33,2.608963400009088,0.8281622371839351,0.3753453302992631,66.91631036715526,0.21429001316106588,41.78582592981292,22.881376420587387
cycle_4_start_n28,28,10000,11,5.39625530000194,0.8294637295219535,0.39290757179273905,70.04729484372616,0.19700362733936438,41.46972666622797,22.691616499195497
cycle_4_start_n28,28,10000,22,5.181515999996918,0.8245516544511616,0.470591830513472,83.89679168721776,0.15980674662402383,41.61840914572458,23.025405072915856
cycle_4_start_n28,28,10000,33,5.2611872000125,0.8282362824795346,0.33481897617845907,59.69129949986998,0.15942767889328688,42.05598610170118,21.065163123492635
cycle_4_start_n28,28,20000,11,10.269818200002192,0.8237846770285036,0.43834599425226195,78.14802591575283,0.13902457698083084,41.67522540507725,23.092288370565882
cycle_4_start_n28,28,20000,22,10.462063600003603,0.8222974981609034,0.43690227801557974,77.89064116635711,0.09726695002091865,41.27096286348065,23.00766394775626
cycle_4_start_n28,28,20000,33,10.644336899989867,0.826930694950351,0.42210524586474124,75.25263633190552,0.19136757255751918,41.532871383461746,22.832927580185707
cycle_5_start_n32,32,250,11,0.1607298000017181,0.8822562450056068,0.14466707130010997,29.14336036825194,0.273433497411229,51.247817060145415,29.595525205847746
cycle_5_start_n32,32,250,22,0.14933949999976903,0.8959919276673177,0.1381094834197451,27.82232618247307,0.3723876774675656,54.0300119213678,27.28765825426544
